id,name,duration_ms,popularity,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,format
3LR0MLRmhiPpD15HDWc0uM,Am I Savage?,389662,37,0.295,0.944,-3.66,1,0.0519,2.1e-05,0.000822,0.0735,0.236,144.03,4,0
6bavz6DVogZ45tleQJxlv0,Murder One,345277,38,0.445,0.953,-3.359,1,0.0408,2.17e-05,0.00251,0.108,0.351,107.222,4,0
7MHkweinOceprzkRWIYTTc,Spit Out the Bone,429198,48,0.157,0.987,-3.739,1,0.091,9.25e-06,0.0628,0.151,0.462,167.949,4,0
2MzaSLi8iFWQQ7fBE3rvDe,The Ecstasy of Gold,121373,31,0.124,0.691,-7.61,0,0.0483,0.834,0.193,0.964,0.151,97.395,4,0
3H2wWBP6QXJpOmDKkihBiF,Creeping Death (Live),379013,33,0.296,0.953,-7.456,1,0.103,3.46e-05,0.053,0.364,0.202,121.442,4,2
2VzAyholTBTXhkqxNO8YEh,For Whom The Bell Tolls (Live),279506,33,0.329,0.912,-7.796,0,0.094,0.000198,0.0238,0.739,0.251,137.924,4,2
7E1lrtRqfZUOFHHlh8yYtE,Fuel (Live),237426,32,0.264,0.942,-6.936,1,0.066,3.71e-05,0.000178,0.951,0.248,126.268,4,2
1w3r4q8rgcc2WVHZPUuEnO,Ride the Lightning (Live),414306,30,0.277,0.933,-8.073,1,0.0565,0.000105,0.105,0.952,0.366,153.551,4,2
24zPBt8eViDHZi8UxmN5rS,One (Live),504573,32,0.354,0.913,-9.649,0,0.104,0.000592,0.323,0.924,0.144,130.909,4,2
5fQQDsc1SxPYADUTD2EV2N,The Memory Remains (Live),342800,31,0.289,0.887,-7.15,1,0.0679,0.00422,4.09e-05,0.875,0.194,81.819,4,2
